,DPSA1,FNSA3,FPSA1,MW,nCl,FPSA3,nH,MOMI-X,MOMI-Y,MOMI-Z,FilterItLogS,SLogP,label
866,404.96019029377305,-0.04455512219506404,0.8202689311221716,363.1794209000007,0,0.05514023124742333,25,5821.718677021141,4008.677898133236,2218.852648398425,-4.625816068490744,2.6759000000000013,1
867,126.30013873458431,-0.03947533463043495,0.6650750656655543,188.09496300400002,0,0.036903865168374204,12,1314.2634852627025,1041.4817354665377,357.25691581692695,-1.8767550578091436,1.48442,1
868,272.55305379850387,-0.020740242665756296,0.7732584056543358,296.18886338800064,0,0.03224180909505951,24,3454.793915707733,2945.929574068453,759.6939524982868,-3.4027973377375953,2.6565000000000007,1
869,171.58618257846194,-0.02979030422209988,0.7456966466641073,162.115698448,0,0.034169550230880495,14,844.9768618442215,768.645960916155,274.31081841856803,-2.0108291940755616,1.8483,0
870,-9.652635856858666,-0.1351771979700934,0.4867193721564541,233.035793452,0,0.034970739466509686,11,1066.2605206000098,820.3659437684238,642.5167944871407,-0.09512107639709198,-0.7949999999999989,0
871,-85.26053995785398,-0.1517408210585356,0.40226731636943786,282.0575894280002,0,0.047373704961628765,9,2842.2549322869463,2695.312457585709,749.7794083410699,-1.2814206567531767,-0.16930000000000034,1
872,17.135259606929026,-0.10721353978552624,0.5130631910778616,434.13723880400045,0,0.05342173607222425,22,7217.129815476617,5842.575010075554,2611.194636960397,-1.5291784479448742,-0.4479299999999991,0
873,-41.063579600652645,-0.22294143848699527,0.4369994461482345,176.03208797599999,0,0.07307804659819929,8,884.3803961431831,735.9918092584815,361.4626080655722,1.4908721997501757,-1.4074,1
874,886.1901686048068,-0.09276410957701788,0.6277869233415085,3748.946461099956,0,0.04888248686067345,265,477336.9531099218,457061.10999246326,139516.88284983466,-21.77850813698787,-10.161660000000165,1
875,145.53836202724975,-0.09354167734870987,0.6215736451757913,401.1157750880004,0,0.047155316550064864,19,6788.11498100566,5098.5297911683665,1912.6304035704595,-2.9131101871465823,0.9633999999999998,1
876,-46.277072274966656,-0.1431685467733096,0.41194298481477537,130.017855556,0,0.06684032519841691,3,513.9438462130802,357.1437326810849,156.84782233354562,-1.5573625194695806,-0.7977000000000001,0
